group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
vigenere cipher encrypt decrypt,,,,,1060131.0,ns,841
vigenere cipher encrypt decrypt,,,,,2031215.0,ns,1682
vigenere cipher encrypt decrypt,,,,,3137760.0,ns,2523
vigenere cipher encrypt decrypt,,,,,4053678.0,ns,3364
vigenere cipher encrypt decrypt,,,,,5757838.0,ns,4205
vigenere cipher encrypt decrypt,,,,,6359498.0,ns,5046
vigenere cipher encrypt decrypt,,,,,7370784.0,ns,5887
vigenere cipher encrypt decrypt,,,,,7931097.0,ns,6728
vigenere cipher encrypt decrypt,,,,,8732940.0,ns,7569
vigenere cipher encrypt decrypt,,,,,9679920.0,ns,8410
vigenere cipher encrypt decrypt,,,,,10704141.0,ns,9251
vigenere cipher encrypt decrypt,,,,,11579310.0,ns,10092
vigenere cipher encrypt decrypt,,,,,12669397.0,ns,10933
vigenere cipher encrypt decrypt,,,,,13487422.0,ns,11774
vigenere cipher encrypt decrypt,,,,,14649046.0,ns,12615
vigenere cipher encrypt decrypt,,,,,15783273.0,ns,13456
vigenere cipher encrypt decrypt,,,,,16361945.0,ns,14297
vigenere cipher encrypt decrypt,,,,,17383555.0,ns,15138
vigenere cipher encrypt decrypt,,,,,18435405.0,ns,15979
vigenere cipher encrypt decrypt,,,,,19254017.0,ns,16820
vigenere cipher encrypt decrypt,,,,,20290910.0,ns,17661
vigenere cipher encrypt decrypt,,,,,21149484.0,ns,18502
vigenere cipher encrypt decrypt,,,,,22178254.0,ns,19343
vigenere cipher encrypt decrypt,,,,,23242296.0,ns,20184
vigenere cipher encrypt decrypt,,,,,24358835.0,ns,21025
vigenere cipher encrypt decrypt,,,,,27219146.0,ns,21866
vigenere cipher encrypt decrypt,,,,,26964376.0,ns,22707
vigenere cipher encrypt decrypt,,,,,27915742.0,ns,23548
vigenere cipher encrypt decrypt,,,,,28394159.0,ns,24389
vigenere cipher encrypt decrypt,,,,,29302781.0,ns,25230
vigenere cipher encrypt decrypt,,,,,30027811.0,ns,26071
vigenere cipher encrypt decrypt,,,,,31036383.0,ns,26912
vigenere cipher encrypt decrypt,,,,,32301295.0,ns,27753
vigenere cipher encrypt decrypt,,,,,32787971.0,ns,28594
vigenere cipher encrypt decrypt,,,,,33846776.0,ns,29435
vigenere cipher encrypt decrypt,,,,,34599511.0,ns,30276
vigenere cipher encrypt decrypt,,,,,35709303.0,ns,31117
vigenere cipher encrypt decrypt,,,,,36986502.0,ns,31958
vigenere cipher encrypt decrypt,,,,,37947675.0,ns,32799
